"GDP per capita, current prices
 (U.S. dollars per capita)";1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029
Bahamas, The;12291,741;12496,221;13749,496;14961,6;15630,102;16801,08;17854,136;19329,928;19687,5;21818,62;20460,303;19767,715;19417,216;18979,006;19660,918;20271,249;20974,532;21951,756;23300,816;25780,485;26601,368;26971,273;28357,927;27896,338;28056,572;30030,89;30594,671;31498,523;30787,585;28793,341;28725,135;28365,859;29895,418;28695,885;30055,888;31576,619;31463,129;32471,737;33183,686;33888,774;25049,586;29230,943;32298,948;34224,065;35257,198;36173,394;37053,514;37914,305;38861,507;39829,543
Bahrain;10189,612;11061,394;11221,699;11117,659;11163,436;10182,368;7695,805;8049,364;9602,789;9668,043;10179,632;10252,365;10536,823;11290,27;11777,073;12143,091;12298,65;12422,116;11565,971;12210,221;14214,58;13894,343;13501,551;14486,061;15963,978;17966,224;19267,567;20908,338;23236,055;19465,292;20827,719;24080,43;25434,451;25965,311;25398,315;22659,374;22641,276;23631,585;25149,47;26051,303;23516,937;26116,466;28781,89;28262,187;28876,454;29337,302;29795,699;30354,647;30977,543;31674,141
Bangladesh;311,093;322,318;294,02;277,489;303,3;317,511;318,062;339,17;355,592;378,07;398,05;402,354;400,912;395,867;411,91;450,133;471,268;479,354;488,077;491,461;483,217;480,724;490,919;532,343;563,21;572,014;610,469;668,54;760,65;841,252;935,755;1032,313;1057,884;1176,16;1340,289;1495,538;1679,021;1839,755;1991,739;2154,227;2270,348;2497,741;2730,846;2621,288;2646,005;2830,822;3117,74;3465,894;3872,079;4327,33
Barbados;4036,509;4427,056;4611,693;4882,788;5308,313;5539,558;6062,784;6653,718;7052,007;7776,714;7772,174;7777,866;7464,866;7886,782;8194,382;8414,115;8938,565;9412,367;10573,109;11039,097;11337,027;11284,369;11442,562;11788,654;12612,206;13939,669;15334,007;16925,584;17254,317;16036,377;16203,334;16599,014;16371,966;16556,11;16572,331;16623,566;16957,431;17435,312;17795,112;18689,73;16602,198;17133,654;20184,688;22020,335;23596,139;24928,231;26148,642;27362,668;28633,058;29909,412
Belarus;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1252,792;1114,104;1533,721;1034,931;1429,059;1396,112;1514,669;1210,965;1079,61;1286,951;1529,813;1880,217;2459,175;3232,491;3979,115;4896,501;6590,856;5350,621;6033,415;6485,981;6951,407;7994,708;8333,161;5953,752;5037,653;5785,291;6357,962;6838,218;6536,527;7332,084;7892,727;7820,257;7557,795;7790,189;8118,961;8489,476;8934,404;9357,893
Belgium;12529,348;10366,108;9128,584;8626,16;8244,846;8568,653;11873,806;14740,456;16008,638;16098,158;20119,935;20563,729;22823,029;21723,624;23624,467;28458,469;27535,287;24878,749;25399,222;25309,057;23136,511;23067,163;25044,331;30707,665;35497,552;36945,499;38841,785;44496,791;48493,137;44892,228;44448,17;47564,381;44824,163;46848,612;47897,037;41147,261;42076,398;44274,073;47685,347;46783,103;45636,457;52026,031;50259,448;53659,317;55536,223;56886,597;58428,977;59965,531;61694,553;63346,238
Belize;1485,189;1544,093;1514,544;1553,175;1687,191;1628,2;1723,846;1964,493;2275,713;2557,259;2819,969;2981,814;3374,418;3542,791;3555,727;3677,903;3729,822;3675,268;3738,251;3908,248;4333,93;4409,66;4564,499;4704,716;4907,717;5030,684;5442,702;5686,947;5644,95;5336,621;5393,252;5477,024;5573,889;5781,058;5921,368;5958,994;5928,131;5843,87;5791,593;5843,129;4858,609;5636,16;6407,77;6865,047;7170,182;7369,804;7501,171;7634,879;7770,97;7909,488
Benin;614,04;401,43;385,574;330,58;341,857;359,165;448,478;519,04;527,911;476,325;562,898;558,099;601,645;560,707;375,963;495,048;524,067;489,136;510,571;542,24;503,22;508,351;563,98;698,234;783,763;806,35;837,176;944,755;1098,826;1060,566;1010,314;1099,221;1113,274;1214,313;1251,827;1041,758;1049,531;1094,888;1194,023;1171,015;1239,74;1361,816;1304,748;1411,222;1512,242;1590,281;1668,555;1752,843;1841,031;1933,517
Bhutan;324,386;341,009;349,707;368,714;372,512;375,02;410,714;480,579;533,528;519,641;552,933;479,493;475,802;505,888;520,485;612,147;638,444;703,669;754,037;769,484;814,755;824,986;873,97;1023,488;1142,13;1310,737;1379,091;1665,902;2079,433;1934,381;2265,468;2728,197;2825,188;2842,474;2760,16;2980,157;3071,344;3344,035;3606,621;3547,477;3469,154;3486,101;3775,341;3776,426;4014,386;4340,691;4691,867;4991,436;5319,216;5725,055
Bolivia;695,535;615,66;668,55;619,896;631,152;668,921;640,94;683,625;712,146;715,525;723,431;776,711;803,547;793,646;805,183;886,368;956,965;1006,102;1057,72;1010,58;994,617;949,383;904,851;908,203;968,545;1037,176;1226,845;1383,894;1729,369;1769,441;1972,684;2368,523;2635,933;2938,421;3114,966;3069,319;3110,874;3388,523;3588,089;3591,403;3172,556;3449,384;3705,266;3831,281;4014,178;4218,49;4412,397;4616,964;4830,857;5054,511
